publisher_number,subscriber_number,message_size,retain,qos,topics,predicted_database_size
1,1,4,0,0,9,3.43994
1,1,4,0,0,10,3.43994
1,1,4,0,1,1,7.025208
1,1,4,0,1,2,7.025208
1,1,4,0,1,3,7.025208
1,1,4,0,1,4,7.025208
1,1,4,0,1,5,7.025208
1,1,4,0,1,6,7.025208
1,1,4,0,1,7,7.025208
1,1,4,0,1,8,7.025208
1,1,4,0,1,9,7.025208
1,1,4,0,1,10,7.025208
1,1,4,0,2,1,7.5628257
1,1,4,0,2,2,7.5628257
1,1,4,0,2,3,7.5628257
1,1,4,0,2,4,7.5628257
1,1,4,0,2,5,7.5628257
1,1,4,0,2,6,7.5628257
1,1,4,0,2,7,7.5628257
1,1,4,0,2,8,7.5628257
1,1,4,0,2,9,7.5628257
1,1,4,0,2,10,7.5628257
1,1,8,1,0,1,3.43994
1,1,8,1,0,2,3.43994
1,1,8,1,0,3,3.43994
1,1,8,1,0,4,3.43994
1,1,8,1,0,5,3.43994
1,1,8,1,0,6,3.43994
1,1,8,1,0,7,3.43994
1,1,8,1,0,8,3.43994
1,1,8,1,0,9,3.43994
1,1,8,1,0,10,3.43994
1,1,8,1,1,1,7.025208
1,1,8,1,1,2,7.025208
1,1,8,1,1,3,7.025208
1,1,8,1,1,4,7.025208
1,1,8,1,1,5,7.025208
1,1,8,1,1,6,7.025208
1,1,8,1,1,7,7.025208
1,1,8,1,1,8,7.025208
1,1,8,1,1,9,7.025208
1,1,8,1,1,10,7.025208
1,1,8,1,2,1,7.5628257
1,1,8,1,2,2,7.5628257
1,1,8,1,2,3,7.5628257
1,1,8,1,2,4,7.5628257
1,1,8,1,2,5,7.5628257
1,1,8,1,2,6,7.5628257
1,1,8,1,2,7,7.5628257
1,1,8,1,2,8,7.5628257
1,1,8,1,2,9,7.5628257
1,1,8,1,2,10,7.5628257
1,1,8,0,0,1,3.43994
1,1,8,0,0,2,3.43994
1,1,8,0,0,3,3.43994
1,1,8,0,0,4,3.43994
1,1,8,0,0,5,3.43994
1,1,8,0,0,6,3.43994
1,1,8,0,0,7,3.43994
1,1,8,0,0,8,3.43994
1,1,8,0,0,9,3.43994
1,1,8,0,0,10,3.43994
1,1,8,0,1,1,7.025208
1,1,8,0,1,2,7.025208
1,1,8,0,1,3,7.025208
1,1,8,0,1,4,7.025208
1,1,8,0,1,5,7.025208
1,1,8,0,1,6,7.025208
1,1,8,0,1,7,7.025208
1,1,8,0,1,8,7.025208
1,1,8,0,1,9,7.025208
1,1,8,0,1,10,7.025208
1,1,8,0,2,1,7.5628257
1,1,8,0,2,2,7.5628257
1,1,8,0,2,3,7.5628257
1,1,8,0,2,4,7.5628257
1,1,8,0,2,5,7.5628257
1,1,8,0,2,6,7.5628257
1,1,8,0,2,7,7.5628257
1,1,8,0,2,8,7.5628257
1,1,8,0,2,9,7.5628257
1,1,8,0,2,10,7.5628257
1,1,16,1,0,1,3.43994
1,1,16,1,0,2,3.43994
1,1,16,1,0,3,3.43994
1,1,16,1,0,4,3.43994
1,1,16,1,0,5,3.43994
1,1,16,1,0,6,3.43994
1,1,16,1,0,7,3.43994
1,1,16,1,0,8,3.43994
1,1,16,1,0,9,3.43994
1,1,16,1,0,10,3.43994
1,1,16,1,1,1,7.025208
1,1,16,1,1,2,7.025208
1,1,16,1,1,3,7.025208
1,1,16,1,1,4,7.025208
1,1,16,1,1,5,7.025208
1,1,16,1,1,6,7.025208
1,1,16,1,1,7,7.025208
1,1,16,1,1,8,7.025208
1,1,16,1,1,9,7.025208
1,1,16,1,1,10,7.025208
1,1,16,1,2,1,7.5628257
1,1,16,1,2,2,7.5628257
1,1,16,1,2,3,7.5628257
1,1,16,1,2,4,7.5628257
1,1,16,1,2,5,7.5628257
1,1,16,1,2,6,7.5628257
1,1,16,1,2,7,7.5628257
1,1,16,1,2,8,7.5628257
1,1,16,1,2,9,7.5628257
1,1,16,1,2,10,7.5628257
1,1,16,0,0,1,3.43994
1,1,16,0,0,2,3.43994
1,1,16,0,0,3,3.43994
1,1,16,0,0,4,3.43994
1,1,16,0,0,5,3.43994
1,1,16,0,0,6,3.43994
1,1,16,0,0,7,3.43994
1,1,16,0,0,8,3.43994
1,1,16,0,0,9,3.43994
1,1,16,0,0,10,3.43994
1,1,16,0,1,1,7.025208
1,1,16,0,1,2,7.025208
1,1,16,0,1,3,7.025208
1,1,16,0,1,4,7.025208
1,1,16,0,1,5,7.025208
1,1,16,0,1,6,7.025208
1,1,16,0,1,7,7.025208
1,1,16,0,1,8,7.025208
1,1,16,0,1,9,7.025208
1,1,16,0,1,10,7.025208
1,1,16,0,2,1,7.5628257
1,1,16,0,2,2,7.5628257
1,1,16,0,2,3,7.5628257
1,1,16,0,2,4,7.5628257
1,1,16,0,2,5,7.5628257
1,1,16,0,2,6,7.5628257
1,1,16,0,2,7,7.5628257
1,1,16,0,2,8,7.5628257
1,1,16,0,2,9,7.5628257
1,1,16,0,2,10,7.5628257
1,2,1,1,0,1,1.3323903
1,2,1,1,0,2,1.3323903
1,2,1,1,0,3,1.3323903
1,2,1,1,0,4,1.3323903
1,2,1,1,0,5,1.3323903
1,2,1,1,0,6,1.3323903
1,2,1,1,0,7,1.3323903
1,2,1,1,0,8,1.3323903
1,2,1,1,0,9,1.3323903
1,2,1,1,0,10,1.3323903
1,2,1,1,1,1,3.2613077
1,2,1,1,1,2,3.2613077
1,2,1,1,1,3,3.2613077
1,2,1,1,1,4,3.2613077
1,2,1,1,1,5,3.2613077
1,2,1,1,1,6,3.2613077
1,2,1,1,1,7,3.2613077
1,2,1,1,1,8,3.2613077
1,2,1,1,1,9,3.2613077
1,2,1,1,1,10,3.2613077
1,2,1,1,2,1,4.023003
1,2,1,1,2,2,4.023003
1,2,1,1,2,3,4.023003
1,2,1,1,2,4,4.023003
1,2,1,1,2,5,4.023003
1,2,1,1,2,6,4.023003
1,2,1,1,2,7,4.023003
1,2,1,1,2,8,4.023003
1,2,1,1,2,9,4.023003
1,2,1,1,2,10,4.023003
1,2,1,0,0,1,1.3323903
1,2,1,0,0,2,1.3323903
1,2,1,0,0,3,1.3323903
1,2,1,0,0,4,1.3323903
1,2,1,0,0,5,1.3323903
1,2,1,0,0,6,1.3323903
1,2,1,0,0,7,1.3323903
1,2,1,0,0,8,1.3323903
1,2,1,0,0,9,1.3323903
1,2,1,0,0,10,1.3323903
1,2,1,0,1,1,3.2613077
1,2,1,0,1,2,3.2613077
1,2,1,0,1,3,3.2613077
1,2,1,0,1,4,3.2613077
1,2,1,0,1,5,3.2613077
1,2,1,0,1,6,3.2613077
1,2,1,0,1,7,3.2613077
1,2,1,0,1,8,3.2613077
1,2,1,0,1,9,3.2613077
1,2,1,0,1,10,3.2613077
1,2,1,0,2,1,4.023003
1,2,1,0,2,2,4.023003
1,2,1,0,2,3,4.023003
1,2,1,0,2,4,4.023003
1,2,1,0,2,5,4.023003
1,2,1,0,2,6,4.023003
1,2,1,0,2,7,4.023003
1,2,1,0,2,8,4.023003
1,2,1,0,2,9,4.023003
1,2,1,0,2,10,4.023003
1,2,2,1,0,1,3.43994
1,2,2,1,0,2,3.43994
1,2,2,1,0,3,3.43994
1,2,2,1,0,4,3.43994
1,2,2,1,0,5,3.43994
1,2,2,1,0,6,3.43994
1,2,2,1,0,7,3.43994
1,2,2,1,0,8,3.43994
1,2,2,1,0,9,3.43994
1,2,2,1,0,10,3.43994
1,2,2,1,1,1,7.025208
1,2,2,1,1,2,7.025208
1,2,2,1,1,3,7.025208
1,2,2,1,1,4,7.025208
1,2,2,1,1,5,7.025208
1,2,2,1,1,6,7.025208
1,2,2,1,1,7,7.025208
1,2,2,1,1,8,7.025208
1,2,2,1,1,9,7.025208
1,2,2,1,1,10,7.025208
1,2,2,1,2,1,7.5628257
1,2,2,1,2,2,7.5628257
1,2,2,1,2,3,7.5628257
1,2,2,1,2,4,7.5628257
1,2,2,1,2,5,7.5628257
1,2,2,1,2,6,7.5628257
1,2,2,1,2,7,7.5628257
1,2,2,1,2,8,7.5628257
1,2,2,1,2,9,7.5628257
1,2,2,1,2,10,7.5628257
1,2,2,0,0,1,3.43994
1,2,2,0,0,2,3.43994
1,2,2,0,0,3,3.43994
1,2,2,0,0,4,3.43994
1,2,2,0,0,5,3.43994
1,2,2,0,0,6,3.43994
1,2,2,0,0,7,3.43994
1,2,2,0,0,8,3.43994
1,2,2,0,0,9,3.43994
1,2,2,0,0,10,3.43994
1,2,2,0,1,1,7.025208
1,2,2,0,1,2,7.025208
1,2,2,0,1,3,7.025208
1,2,2,0,1,4,7.025208
1,2,2,0,1,5,7.025208
1,2,2,0,1,6,7.025208
1,2,2,0,1,7,7.025208
1,2,2,0,1,8,7.025208
1,2,2,0,1,9,7.025208
1,2,2,0,1,10,7.025208
1,2,2,0,2,1,7.5628257
1,2,2,0,2,2,7.5628257
1,2,2,0,2,3,7.5628257
1,2,2,0,2,4,7.5628257
1,2,2,0,2,5,7.5628257
1,2,2,0,2,6,7.5628257
1,2,2,0,2,7,7.5628257
1,2,2,0,2,8,7.5628257
1,2,2,0,2,9,7.5628257
1,2,2,0,2,10,7.5628257
1,2,4,1,0,1,3.43994
1,2,4,1,0,2,3.43994
1,2,4,1,0,3,3.43994
1,2,4,1,0,4,3.43994
1,2,4,1,0,5,3.43994
1,2,4,1,0,6,3.43994
1,2,4,1,0,7,3.43994
1,2,4,1,0,8,3.43994
1,2,4,1,0,9,3.43994
1,2,4,1,0,10,3.43994
1,2,4,1,1,1,7.025208
1,2,4,1,1,2,7.025208
1,2,4,1,1,3,7.025208
1,2,4,1,1,4,7.025208
1,2,4,1,1,5,7.025208
1,2,4,1,1,6,7.025208
1,2,4,1,1,7,7.025208
1,2,4,1,1,8,7.025208
1,2,4,1,1,9,7.025208
1,2,4,1,1,10,7.025208
1,2,4,1,2,1,7.5628257
1,2,4,1,2,2,7.5628257
1,2,4,1,2,3,7.5628257
1,2,4,1,2,4,7.5628257
1,2,4,1,2,5,7.5628257
1,2,4,1,2,6,7.5628257
1,2,4,1,2,7,7.5628257
1,2,4,1,2,8,7.5628257
1,2,4,1,2,9,7.5628257
1,2,4,1,2,10,7.5628257
1,2,4,0,0,1,3.43994
1,2,4,0,0,2,3.43994
1,2,4,0,0,3,3.43994
1,2,4,0,0,4,3.43994
1,2,4,0,0,5,3.43994
1,2,4,0,0,6,3.43994
1,2,4,0,0,7,3.43994
1,2,4,0,0,8,3.43994
1,2,4,0,0,9,3.43994
1,2,4,0,0,10,3.43994
1,2,4,0,1,1,7.025208
1,2,4,0,1,2,7.025208
1,2,4,0,1,3,7.025208
1,2,4,0,1,4,7.025208
1,2,4,0,1,5,7.025208
1,2,4,0,1,6,7.025208
1,2,4,0,1,7,7.025208
1,2,4,0,1,8,7.025208
1,2,4,0,1,9,7.025208
1,2,4,0,1,10,7.025208
1,2,4,0,2,1,7.5628257
1,2,4,0,2,2,7.5628257
1,2,4,0,2,3,7.5628257
1,2,4,0,2,4,7.5628257
1,2,4,0,2,5,7.5628257
1,2,4,0,2,6,7.5628257
1,2,4,0,2,7,7.5628257
1,2,4,0,2,8,7.5628257
1,2,4,0,2,9,7.5628257
1,2,4,0,2,10,7.5628257
1,2,8,1,0,1,3.43994
1,2,8,1,0,2,3.43994
1,2,8,1,0,3,3.43994
1,2,8,1,0,4,3.43994
1,2,8,1,0,5,3.43994
1,2,8,1,0,6,3.43994
1,2,8,1,0,7,3.43994
1,2,8,1,0,8,3.43994
1,2,8,1,0,9,3.43994
1,2,8,1,0,10,3.43994
1,2,8,1,1,1,7.025208
1,2,8,1,1,2,7.025208
1,2,8,1,1,3,7.025208
1,2,8,1,1,4,7.025208
1,2,8,1,1,5,7.025208
1,2,8,1,1,6,7.025208
1,2,8,1,1,7,7.025208
1,2,8,1,1,8,7.025208
1,2,8,1,1,9,7.025208
1,2,8,1,1,10,7.025208
1,2,8,1,2,1,7.5628257
1,2,8,1,2,2,7.5628257
1,2,8,1,2,3,7.5628257
1,2,8,1,2,4,7.5628257
1,2,8,1,2,5,7.5628257
1,2,8,1,2,6,7.5628257
1,2,8,1,2,7,7.5628257
1,2,8,1,2,8,7.5628257
1,2,8,1,2,9,7.5628257
1,2,8,1,2,10,7.5628257
1,2,8,0,0,1,3.43994
1,2,8,0,0,2,3.43994
1,2,8,0,0,3,3.43994
1,2,8,0,0,4,3.43994
1,2,8,0,0,5,3.43994
1,2,8,0,0,6,3.43994
1,2,8,0,0,7,3.43994
1,2,8,0,0,8,3.43994
1,2,8,0,0,9,3.43994
1,2,8,0,0,10,3.43994
1,2,8,0,1,1,7.025208
1,2,8,0,1,2,7.025208
1,2,8,0,1,3,7.025208
1,2,8,0,1,4,7.025208
1,2,8,0,1,5,7.025208
1,2,8,0,1,6,7.025208
1,2,8,0,1,7,7.025208
1,2,8,0,1,8,7.025208
1,2,8,0,1,9,7.025208
1,2,8,0,1,10,7.025208
1,2,8,0,2,1,7.5628257
1,2,8,0,2,2,7.5628257
1,2,8,0,2,3,7.5628257
1,2,8,0,2,4,7.5628257
1,2,8,0,2,5,7.5628257
1,2,8,0,2,6,7.5628257
1,2,8,0,2,7,7.5628257
1,2,8,0,2,8,7.5628257
1,2,8,0,2,9,7.5628257
1,2,8,0,2,10,7.5628257
1,2,16,1,0,1,3.43994
1,2,16,1,0,2,3.43994
1,2,16,1,0,3,3.43994
1,2,16,1,0,4,3.43994
1,2,16,1,0,5,3.43994
1,2,16,1,0,6,3.43994
1,2,16,1,0,7,3.43994
1,2,16,1,0,8,3.43994
1,2,16,1,0,9,3.43994
1,2,16,1,0,10,3.43994
1,2,16,1,1,1,7.025208
1,2,16,1,1,2,7.025208
1,2,16,1,1,3,7.025208
1,2,16,1,1,4,7.025208
1,2,16,1,1,5,7.025208
1,2,16,1,1,6,7.025208
1,2,16,1,1,7,7.025208
1,2,16,1,1,8,7.025208
1,2,16,1,1,9,7.025208
1,2,16,1,1,10,7.025208
1,2,16,1,2,1,7.5628257
1,2,16,1,2,2,7.5628257
1,2,16,1,2,3,7.5628257
1,2,16,1,2,4,7.5628257
1,2,16,1,2,5,7.5628257
1,2,16,1,2,6,7.5628257
1,2,16,1,2,7,7.5628257
1,2,16,1,2,8,7.5628257
1,2,16,1,2,9,7.5628257
1,2,16,1,2,10,7.5628257
1,2,16,0,0,1,3.43994
1,2,16,0,0,2,3.43994
1,2,16,0,0,3,3.43994
1,2,16,0,0,4,3.43994
1,2,16,0,0,5,3.43994
1,2,16,0,0,6,3.43994
1,2,16,0,0,7,3.43994
1,2,16,0,0,8,3.43994
1,2,16,0,0,9,3.43994
1,2,16,0,0,10,3.43994
1,2,16,0,1,1,7.025208
1,2,16,0,1,2,7.025208
1,2,16,0,1,3,7.025208
1,2,16,0,1,4,7.025208
1,2,16,0,1,5,7.025208
1,2,16,0,1,6,7.025208
1,2,16,0,1,7,7.025208
1,2,16,0,1,8,7.025208
1,2,16,0,1,9,7.025208
1,2,16,0,1,10,7.025208
1,2,16,0,2,1,7.5628257
1,2,16,0,2,2,7.5628257
1,2,16,0,2,3,7.5628257
1,2,16,0,2,4,7.5628257
1,2,16,0,2,5,7.5628257
1,2,16,0,2,6,7.5628257
1,2,16,0,2,7,7.5628257
1,2,16,0,2,8,7.5628257
1,2,16,0,2,9,7.5628257
1,2,16,0,2,10,7.5628257
1,3,1,1,0,1,1.3352246
1,3,1,1,0,2,1.3352246
1,3,1,1,0,3,1.3352246
1,3,1,1,0,4,1.3352246
1,3,1,1,0,5,1.3352246
1,3,1,1,0,6,1.3352246
1,3,1,1,0,7,1.3352246
1,3,1,1,0,8,1.3352246
1,3,1,1,0,9,1.3352246
1,3,1,1,0,10,1.3352246
1,3,1,1,1,1,3.268962
1,3,1,1,1,2,3.268962
1,3,1,1,1,3,3.268962
1,3,1,1,1,4,3.268962
1,3,1,1,1,5,3.268962
1,3,1,1,1,6,3.268962
1,3,1,1,1,7,3.268962
1,3,1,1,1,8,3.268962
1,3,1,1,1,9,3.268962
1,3,1,1,1,10,3.268962
1,3,1,1,2,1,4.034219
1,3,1,1,2,2,4.034219
1,3,1,1,2,3,4.034219
1,3,1,1,2,4,4.034219
1,3,1,1,2,5,4.034219
1,3,1,1,2,6,4.034219
1,3,1,1,2,7,4.034219
1,3,1,1,2,8,4.034219
1,3,1,1,2,9,4.034219
1,3,1,1,2,10,4.034219
1,3,1,0,0,1,1.3352246
1,3,1,0,0,2,1.3352246
1,3,1,0,0,3,1.3352246
1,3,1,0,0,4,1.3352246
1,3,1,0,0,5,1.3352246
1,3,1,0,0,6,1.3352246
1,3,1,0,0,7,1.3352246
1,3,1,0,0,8,1.3352246
1,3,1,0,0,9,1.3352246
1,3,1,0,0,10,1.3352246
1,3,1,0,1,1,3.268962
1,3,1,0,1,2,3.268962
1,3,1,0,1,3,3.268962
1,3,1,0,1,4,3.268962
1,3,1,0,1,5,3.268962
1,3,1,0,1,6,3.268962
1,3,1,0,1,7,3.268962
1,3,1,0,1,8,3.268962
1,3,1,0,1,9,3.268962
1,3,1,0,1,10,3.268962
1,3,1,0,2,1,4.034219
1,3,1,0,2,2,4.034219
1,3,1,0,2,3,4.034219
1,3,1,0,2,4,4.034219
1,3,1,0,2,5,4.034219
1,3,1,0,2,6,4.034219
1,3,1,0,2,7,4.034219
1,3,1,0,2,8,4.034219
1,3,1,0,2,9,4.034219
1,3,1,0,2,10,4.034219
1,3,2,1,0,1,3.4380639
1,3,2,1,0,2,3.4380639
1,3,2,1,0,3,3.4380639
1,3,2,1,0,4,3.4380639
1,3,2,1,0,5,3.4380639
1,3,2,1,0,6,3.4380639
1,3,2,1,0,7,3.4380639
1,3,2,1,0,8,3.4380639
1,3,2,1,0,9,3.4380639
1,3,2,1,0,10,3.4380639
1,3,2,1,1,1,7.0281506
1,3,2,1,1,2,7.0281506
1,3,2,1,1,3,7.0281506
1,3,2,1,1,4,7.0281506
1,3,2,1,1,5,7.0281506
1,3,2,1,1,6,7.0281506
1,3,2,1,1,7,7.0281506
1,3,2,1,1,8,7.0281506
1,3,2,1,1,9,7.0281506
1,3,2,1,1,10,7.0281506
1,3,2,1,2,1,7.5693307
1,3,2,1,2,2,7.5693307
1,3,2,1,2,3,7.5693307
1,3,2,1,2,4,7.5693307
1,3,2,1,2,5,7.5693307
1,3,2,1,2,6,7.5693307
1,3,2,1,2,7,7.5693307
1,3,2,1,2,8,7.5693307
1,3,2,1,2,9,7.5693307
1,3,2,1,2,10,7.5693307
1,3,2,0,0,1,3.4380639
1,3,2,0,0,2,3.4380639
1,3,2,0,0,3,3.4380639
1,3,2,0,0,4,3.4380639
1,3,2,0,0,5,3.4380639
1,3,2,0,0,6,3.4380639
1,3,2,0,0,7,3.4380639
1,3,2,0,0,8,3.4380639
1,3,2,0,0,9,3.4380639
1,3,2,0,0,10,3.4380639
1,3,2,0,1,1,7.0281506
1,3,2,0,1,2,7.0281506
1,3,2,0,1,3,7.0281506
1,3,2,0,1,4,7.0281506
1,3,2,0,1,5,7.0281506
1,3,2,0,1,6,7.0281506
1,3,2,0,1,7,7.0281506
1,3,2,0,1,8,7.0281506
1,3,2,0,1,9,7.0281506
1,3,2,0,1,10,7.0281506
1,3,2,0,2,1,7.5693307
1,3,2,0,2,2,7.5693307
1,3,2,0,2,3,7.5693307
1,3,2,0,2,4,7.5693307
1,3,2,0,2,5,7.5693307
1,3,2,0,2,6,7.5693307
1,3,2,0,2,7,7.5693307
1,3,2,0,2,8,7.5693307
1,3,2,0,2,9,7.5693307
1,3,2,0,2,10,7.5693307
1,3,4,1,0,1,3.4380639
1,3,4,1,0,2,3.4380639
1,3,4,1,0,3,3.4380639
1,3,4,1,0,4,3.4380639
1,3,4,1,0,5,3.4380639
1,3,4,1,0,6,3.4380639
1,3,4,1,0,7,3.4380639
1,3,4,1,0,8,3.4380639
1,3,4,1,0,9,3.4380639
1,3,4,1,0,10,3.4380639
1,3,4,1,1,1,7.0281506
1,3,4,1,1,2,7.0281506
1,3,4,1,1,3,7.0281506
1,3,4,1,1,4,7.0281506
1,3,4,1,1,5,7.0281506
1,3,4,1,1,6,7.0281506
1,3,4,1,1,7,7.0281506
1,3,4,1,1,8,7.0281506
1,3,4,1,1,9,7.0281506
1,3,4,1,1,10,7.0281506
1,3,4,1,2,1,7.5693307
1,3,4,1,2,2,7.5693307
1,3,4,1,2,3,7.5693307
1,3,4,1,2,4,7.5693307
1,3,4,1,2,5,7.5693307
1,3,4,1,2,6,7.5693307
1,3,4,1,2,7,7.5693307
1,3,4,1,2,8,7.5693307
1,3,4,1,2,9,7.5693307
1,3,4,1,2,10,7.5693307
1,3,4,0,0,1,3.4380639
1,3,4,0,0,2,3.4380639
1,3,4,0,0,3,3.4380639
1,3,4,0,0,4,3.4380639
1,3,4,0,0,5,3.4380639
1,3,4,0,0,6,3.4380639
1,3,4,0,0,7,3.4380639
1,3,4,0,0,8,3.4380639
1,3,4,0,0,9,3.4380639
1,3,4,0,0,10,3.4380639
1,3,4,0,1,1,7.0281506
1,3,4,0,1,2,7.0281506
1,3,4,0,1,3,7.0281506
1,3,4,0,1,4,7.0281506
1,3,4,0,1,5,7.0281506
1,3,4,0,1,6,7.0281506
1,3,4,0,1,7,7.0281506
1,3,4,0,1,8,7.0281506
1,3,4,0,1,9,7.0281506
1,3,4,0,1,10,7.0281506
1,3,4,0,2,1,7.5693307
1,3,4,0,2,2,7.5693307
1,3,4,0,2,3,7.5693307
1,3,4,0,2,4,7.5693307
1,3,4,0,2,5,7.5693307
1,3,4,0,2,6,7.5693307
1,3,4,0,2,7,7.5693307
1,3,4,0,2,8,7.5693307
1,3,4,0,2,9,7.5693307
1,3,4,0,2,10,7.5693307
1,3,8,1,0,1,3.4380639
1,3,8,1,0,2,3.4380639
1,3,8,1,0,3,3.4380639
1,3,8,1,0,4,3.4380639
1,3,8,1,0,5,3.4380639
1,3,8,1,0,6,3.4380639
1,3,8,1,0,7,3.4380639
1,3,8,1,0,8,3.4380639
1,3,8,1,0,9,3.4380639
1,3,8,1,0,10,3.4380639
1,3,8,1,1,1,7.0281506
1,3,8,1,1,2,7.0281506
1,3,8,1,1,3,7.0281506
1,3,8,1,1,4,7.0281506
1,3,8,1,1,5,7.0281506
1,3,8,1,1,6,7.0281506
