publisher_number,subscriber_number,message_size,retain,qos,topics,predicted_ram_usage
1,1,1,0,2,7,3.4147163612567573
1,1,1,0,2,8,3.4147163612567573
1,1,1,0,2,9,3.4147163612567573
1,1,1,0,2,10,3.4147163612567573
1,1,2,1,0,1,4.9735127110844255
1,1,2,1,0,2,4.9735127110844255
1,1,2,1,0,3,4.9735127110844255
1,1,2,1,0,4,4.9735127110844255
1,1,2,1,0,5,4.9735127110844255
1,1,2,1,0,6,4.9735127110844255
1,1,2,1,0,7,4.9735127110844255
1,1,2,1,0,8,4.9735127110844255
1,1,2,1,0,9,4.9735127110844255
1,1,2,1,0,10,4.9735127110844255
1,1,2,1,1,1,5.589801136154099
1,1,2,1,1,2,5.589801136154099
1,1,2,1,1,3,5.589801136154099
1,1,2,1,1,4,5.589801136154099
1,1,2,1,1,5,5.589801136154099
1,1,2,1,1,6,5.589801136154099
1,1,2,1,1,7,5.589801136154099
1,1,2,1,1,8,5.589801136154099
1,1,2,1,1,9,5.589801136154099
1,1,2,1,1,10,5.589801136154099
1,1,2,1,2,1,6.139333427168821
1,1,2,1,2,2,6.139333427168821
1,1,2,1,2,3,6.139333427168821
1,1,2,1,2,4,6.139333427168821
1,1,2,1,2,5,6.139333427168821
1,1,2,1,2,6,6.139333427168821
1,1,2,1,2,7,6.139333427168821
1,1,2,1,2,8,6.139333427168821
1,1,2,1,2,9,6.139333427168821
1,1,2,1,2,10,6.139333427168821
1,1,2,0,0,1,4.9735127110844255
1,1,2,0,0,2,4.9735127110844255
1,1,2,0,0,3,4.9735127110844255
1,1,2,0,0,4,4.9735127110844255
1,1,2,0,0,5,4.9735127110844255
1,1,2,0,0,6,4.9735127110844255
1,1,2,0,0,7,4.9735127110844255
1,1,2,0,0,8,4.9735127110844255
1,1,2,0,0,9,4.9735127110844255
1,1,2,0,0,10,4.9735127110844255
1,1,2,0,1,1,5.589801136154099
1,1,2,0,1,2,5.589801136154099
1,1,2,0,1,3,5.589801136154099
1,1,2,0,1,4,5.589801136154099
1,1,2,0,1,5,5.589801136154099
1,1,2,0,1,6,5.589801136154099
1,1,2,0,1,7,5.589801136154099
1,1,2,0,1,8,5.589801136154099
1,1,2,0,1,9,5.589801136154099
1,1,2,0,1,10,5.589801136154099
1,1,2,0,2,1,6.139333427168821
1,1,2,0,2,2,6.139333427168821
1,1,2,0,2,3,6.139333427168821
1,1,2,0,2,4,6.139333427168821
1,1,2,0,2,5,6.139333427168821
1,1,2,0,2,6,6.139333427168821
1,1,2,0,2,7,6.139333427168821
1,1,2,0,2,8,6.139333427168821
1,1,2,0,2,9,6.139333427168821
1,1,2,0,2,10,6.139333427168821
1,1,4,1,0,1,4.9735127110844255
1,1,4,1,0,2,4.9735127110844255
1,1,4,1,0,3,4.9735127110844255
1,1,4,1,0,4,4.9735127110844255
1,1,4,1,0,5,4.9735127110844255
1,1,4,1,0,6,4.9735127110844255
1,1,4,1,0,7,4.9735127110844255
1,1,4,1,0,8,4.9735127110844255
1,1,4,1,0,9,4.9735127110844255
1,1,4,1,0,10,4.9735127110844255
1,1,4,1,1,1,5.589801136154099
1,1,4,1,1,2,5.589801136154099
1,1,4,1,1,3,5.589801136154099
1,1,4,1,1,4,5.589801136154099
1,1,4,1,1,5,5.589801136154099
1,1,4,1,1,6,5.589801136154099
1,1,4,1,1,7,5.589801136154099
1,1,4,1,1,8,5.589801136154099
1,1,4,1,1,9,5.589801136154099
1,1,4,1,1,10,5.589801136154099
1,1,4,1,2,1,6.139333427168821
1,1,4,1,2,2,6.139333427168821
1,1,4,1,2,3,6.139333427168821
1,1,4,1,2,4,6.139333427168821
1,1,4,1,2,5,6.139333427168821
1,1,4,1,2,6,6.139333427168821
1,1,4,1,2,7,6.139333427168821
1,1,4,1,2,8,6.139333427168821
1,1,4,1,2,9,6.139333427168821
1,1,4,1,2,10,6.139333427168821
1,1,4,0,0,1,4.9735127110844255
1,1,4,0,0,2,4.9735127110844255
1,1,4,0,0,3,4.9735127110844255
1,1,4,0,0,4,4.9735127110844255
1,1,4,0,0,5,4.9735127110844255
1,1,4,0,0,6,4.9735127110844255
1,1,4,0,0,7,4.9735127110844255
1,1,4,0,0,8,4.9735127110844255
1,1,4,0,0,9,4.9735127110844255
1,1,4,0,0,10,4.9735127110844255
1,1,4,0,1,1,5.589801136154099
1,1,4,0,1,2,5.589801136154099
1,1,4,0,1,3,5.589801136154099
1,1,4,0,1,4,5.589801136154099
1,1,4,0,1,5,5.589801136154099
